onset	offset	pitch
3.11	3.14	56.0
3.64	3.67	57.0
4.19	4.22	63.0
4.72	4.75	63.0
5.23	5.26	65.0
5.72	5.75	65.0
6.32	6.35	63.0
7.45	7.48	61.0
8.01	8.04	61.0
8.52	8.55	60.0
9.08	9.11	60.0
9.65	9.68	58.0
10.19	10.22	58.0
10.73	10.76	56.0
11.92	11.95	63.0
12.46	12.49	63.0
13.01	13.04	61.0
13.54	13.57	61.0
14.11	14.14	60.0
14.67	14.7	60.0
15.27	15.3	58.0
16.42	16.45	63.0
16.97	17.0	63.0
17.54	17.57	61.0
18.1	18.13	61.0
18.66	18.69	60.0
19.22	19.25	60.0
19.79	19.82	58.0
20.97	21.0	56.0
21.51	21.54	56.0
22.05	22.08	63.0
22.61	22.64	63.0
23.13	23.16	65.0
23.68	23.71	65.0
24.23	24.26	63.0
25.36	25.39	61.0
25.93	25.96	61.0
26.45	26.48	60.0
27.01	27.04	60.0
27.55	27.58	58.0
28.12	28.15	58.0
28.7	28.73	56.0
