onset	offset	pitch
1.36	1.39	51.0
1.8	1.83	51.0
2.32	2.35	53.0
2.79	2.82	53.0
3.25	3.28	51.0
3.73	3.76	51.0
4.23	4.26	48.0
5.21	5.24	51.0
5.7	5.73	51.0
6.17	6.2	48.0
6.58	6.61	48.0
7.14	7.17	46.0
9.03	9.06	51.0
9.44	9.47	51.0
9.95	9.98	53.0
10.43	10.46	53.0
10.97	11.0	51.0
11.45	11.48	51.0
11.94	11.97	48.0
12.97	13.0	51.0
13.42	13.45	48.0
13.92	13.95	46.0
14.41	14.44	49.0
14.9	14.93	44.0
16.85	16.88	51.0
17.31	17.34	51.0
17.86	17.89	53.0
18.27	18.3	53.0
18.77	18.8	51.0
19.22	19.25	51.0
19.7	19.73	48.0
20.74	20.77	51.0
21.25	21.28	51.0
21.73	21.76	48.0
22.19	22.22	48.0
22.71	22.74	46.0
24.65	24.68	51.0
25.11	25.14	51.0
25.63	25.66	53.0
26.13	26.16	53.0
26.6	26.63	51.0
27.1	27.13	51.0
27.6	27.63	48.0
28.59	28.62	51.0
29.14	29.17	49.0
29.61	29.64	46.0
30.09	30.12	48.0
30.54	30.57	44.0
