onset	offset	pitch
1.42	1.45	47.51
2.6	2.63	49.68
3.26	3.29	47.51
3.94	3.97	44.49
6.51	6.54	47.51
7.7	7.73	49.68
8.3	8.33	47.28
9.13	9.16	44.49
11.35	11.38	54.45
12.81	12.84	54.45
13.82	13.85	51.6
16.09	16.12	52.49
17.6	17.63	52.66
18.46	18.49	47.28
20.8	20.83	49.06
22.37	22.4	49.27
23.15	23.18	52.32
24.31	24.34	51.05
24.61	24.64	49.68
25.55	25.58	47.51
26.62	26.65	49.68
27.11	27.14	47.51
27.83	27.86	44.49
29.9	29.93	49.27
31.44	31.47	49.47
32.14	32.17	52.32
33.16	33.19	51.79
33.52	33.55	49.06
34.4	34.43	47.51
35.4	35.43	49.47
35.86	35.89	47.74
36.68	36.71	44.22
38.96	38.99	54.76
40.49	40.52	54.45
41.26	41.29	57.3
42.51	42.54	53.82
42.89	42.92	51.42
43.49	43.52	52.49
45.53	45.56	56.49
47.79	47.82	52.49
48.62	48.65	47.74
49.44	49.47	44.49
50.18	50.21	47.51
51.33	51.36	45.3
51.73	51.76	42.76
52.58	52.61	40.49
