onset	offset	pitch
1.3	1.33	44.0
1.76	1.79	44.0
2.24	2.27	52.0
2.69	2.72	51.0
3.22	3.25	53.0
3.69	3.72	53.0
4.17	4.2	51.0
5.15	5.18	49.0
5.66	5.69	49.0
6.14	6.17	48.0
6.64	6.67	48.0
7.08	7.11	46.0
7.71	7.74	46.0
8.1	8.13	43.0
9.06	9.09	52.0
9.5	9.53	51.0
10.01	10.04	49.0
10.53	10.56	49.0
10.96	10.99	47.0
11.46	11.49	47.0
11.95	11.98	45.0
12.9	12.93	50.0
13.38	13.41	51.0
13.93	13.96	49.0
14.41	14.44	49.0
14.93	14.96	47.0
15.39	15.42	47.0
15.91	15.94	45.0
16.87	16.9	44.0
17.34	17.37	43.0
17.82	17.85	51.0
18.31	18.34	51.0
18.8	18.83	52.0
19.29	19.32	52.0
19.78	19.81	50.0
20.78	20.81	48.0
21.29	21.32	49.0
21.75	21.78	48.0
22.25	22.28	47.0
22.79	22.82	46.0
23.33	23.36	46.0
23.79	23.82	44.0
