onset	offset	pitch
0.28	0.31	43.36
0.76	0.79	44.49
1.3	1.33	43.36
1.8	1.83	44.49
2.2	2.23	45.56
2.68	2.71	43.65
3.69	3.72	44.49
4.12	4.15	47.97
4.61	4.64	45.56
5.04	5.07	43.93
5.58	5.61	42.14
6.02	6.05	40.49
6.58	6.61	38.28
7.5	7.53	44.77
8.02	8.05	43.06
8.62	8.65	41.82
9.06	9.09	44.77
9.58	9.61	42.76
10.19	10.22	41.82
10.72	10.75	38.67
11.5	11.53	44.77
12.01	12.04	43.36
12.49	12.52	41.82
13.09	13.12	39.42
13.65	13.68	42.14
14.15	14.18	39.21
14.71	14.74	37.47
15.79	15.82	43.65
16.37	16.4	43.06
16.82	16.85	43.93
17.45	17.48	42.76
17.93	17.96	43.93
18.48	18.51	45.03
18.92	18.95	42.76
19.98	20.01	44.49
20.45	20.48	37.88
20.94	20.97	40.14
21.51	21.54	41.5
22.0	22.03	43.65
22.54	22.57	41.82
23.05	23.08	42.76
