onset	offset	pitch
0.43	0.46	41.17
0.72	0.75	49.47
1.06	1.09	47.74
1.38	1.41	45.82
1.71	1.74	40.49
2.9	2.93	40.14
3.2	3.23	49.47
3.52	3.55	47.74
3.8	3.83	46.07
4.13	4.16	42.45
5.31	5.34	42.14
5.63	5.66	50.08
5.86	5.89	49.06
6.19	6.22	46.32
6.49	6.52	44.22
7.78	7.81	52.49
8.07	8.1	51.96
8.43	8.46	50.67
8.72	8.75	46.8
8.95	8.98	49.06
10.16	10.19	40.49
10.43	10.46	49.06
10.79	10.82	47.04
11.06	11.09	45.3
11.41	11.44	40.14
12.6	12.63	41.17
12.89	12.92	49.47
13.2	13.23	47.51
13.48	13.51	45.3
13.83	13.86	41.82
14.93	14.96	41.5
15.22	15.25	49.88
15.43	15.46	49.47
15.8	15.83	46.32
16.1	16.13	51.6
16.37	16.4	52.83
16.67	16.7	51.96
17.26	17.29	54.3
17.58	17.61	52.32
17.95	17.98	50.86
18.24	18.27	47.51
18.56	18.59	45.56
