onset	offset	pitch
1.04	1.07	40.49
1.75	1.78	45.03
2.45	2.48	45.03
2.86	2.89	47.51
3.18	3.21	45.03
3.46	3.49	44.49
3.92	3.95	42.14
4.66	4.69	42.45
5.41	5.44	42.14
6.26	6.29	47.28
6.9	6.93	47.04
7.24	7.27	49.06
7.66	7.69	47.04
8.0	8.03	45.03
8.38	8.41	44.49
9.1	9.13	40.14
9.8	9.83	39.79
10.53	10.56	48.84
11.18	11.21	48.84
11.64	11.67	49.68
11.97	12.0	49.27
12.36	12.39	47.28
12.74	12.77	45.03
13.42	13.45	42.14
14.15	14.18	39.79
14.48	14.51	39.79
14.84	14.87	42.14
15.58	15.61	46.8
16.15	16.18	44.77
16.94	16.97	44.77
18.34	18.37	39.79
19.11	19.14	45.03
19.78	19.81	45.3
20.13	20.16	47.28
20.48	20.51	45.56
20.83	20.86	44.22
21.16	21.19	42.14
21.95	21.98	41.82
22.67	22.7	41.82
23.45	23.48	47.28
24.08	24.11	47.04
24.39	24.42	48.84
24.76	24.79	47.04
25.11	25.14	45.03
25.45	25.48	44.22
26.15	26.18	39.79
26.85	26.88	40.14
27.54	27.57	48.84
28.14	28.17	48.84
28.54	28.57	49.88
28.83	28.86	49.27
29.21	29.24	47.28
29.61	29.64	45.03
30.31	30.34	42.14
30.99	31.02	39.42
31.29	31.32	40.49
31.68	31.71	42.14
32.37	32.4	46.8
32.99	33.02	44.22
33.7	33.73	44.77
35.0	35.03	39.79
35.7	35.73	45.03
36.4	36.43	45.03
37.14	37.17	44.77
37.78	37.81	44.22
39.04	39.07	44.22
39.76	39.79	45.03
40.34	40.37	44.22
40.99	41.02	41.82
41.71	41.74	40.14
43.03	43.06	47.51
43.53	43.56	48.84
44.23	44.26	47.04
44.87	44.9	45.3
45.49	45.52	51.79
46.09	46.12	39.79
46.78	46.81	38.67
47.08	47.11	39.42
47.4	47.43	42.14
48.1	48.13	47.04
48.68	48.71	44.49
49.38	49.41	45.03
