onset	offset	pitch
1.67	1.7	55.0
2.23	2.26	54.0
2.78	2.81	57.0
3.27	3.3	57.0
3.84	3.87	54.0
4.39	4.42	54.0
5.01	5.04	51.0
6.13	6.16	54.0
6.67	6.7	54.0
7.23	7.26	51.0
7.75	7.78	51.0
8.35	8.38	49.0
10.57	10.6	54.0
11.09	11.12	54.0
11.64	11.67	56.0
12.17	12.2	56.0
12.7	12.73	54.0
13.34	13.37	54.0
13.83	13.86	51.0
14.94	14.97	54.0
15.48	15.51	51.0
16.02	16.05	48.0
16.56	16.59	51.0
17.07	17.1	48.0
19.29	19.32	53.0
19.79	19.82	53.0
20.4	20.43	56.0
20.92	20.95	56.0
21.5	21.53	53.0
22.08	22.11	54.0
22.68	22.71	50.0
23.83	23.86	53.0
24.31	24.34	53.0
24.9	24.93	51.0
25.32	25.35	51.0
25.96	25.99	49.0
28.12	28.15	54.0
28.58	28.61	54.0
29.2	29.23	56.0
29.73	29.76	56.0
30.3	30.33	53.0
30.78	30.81	53.0
31.4	31.43	50.0
32.6	32.63	54.0
33.12	33.15	51.0
33.72	33.75	48.0
34.23	34.26	51.0
34.78	34.81	47.0
