onset	offset	pitch
2.96	2.99	63.0
3.49	3.52	63.0
3.99	4.02	65.0
4.47	4.5	65.0
4.97	5.0	63.0
5.5	5.53	63.0
6.02	6.05	60.0
7.08	7.11	63.0
7.62	7.65	63.0
8.07	8.1	60.0
8.61	8.64	60.0
9.11	9.14	58.0
11.17	11.2	63.0
11.65	11.68	63.0
12.15	12.18	65.0
12.63	12.66	65.0
13.14	13.17	63.0
13.62	13.65	63.0
14.13	14.16	60.0
15.19	15.22	63.0
15.71	15.74	60.0
16.2	16.23	58.0
16.74	16.77	60.0
17.24	17.27	56.0
19.33	19.36	63.0
19.86	19.89	63.0
20.37	20.4	65.0
20.79	20.82	65.0
21.31	21.34	63.0
21.81	21.84	63.0
22.32	22.35	60.0
23.37	23.4	63.0
23.89	23.92	63.0
24.39	24.42	60.0
24.84	24.87	60.0
25.39	25.42	58.0
27.57	27.6	63.0
28.03	28.06	63.0
28.57	28.6	65.0
29.04	29.07	65.0
29.56	29.59	63.0
30.0	30.03	63.0
30.57	30.6	60.0
31.53	31.56	63.0
32.05	32.08	60.0
32.56	32.59	58.0
33.08	33.11	60.0
33.59	33.62	56.0
