onset	offset	pitch
1.27	1.3	47.0
1.84	1.87	47.0
2.41	2.44	54.0
3.02	3.05	54.0
3.55	3.58	56.0
4.1	4.13	56.0
4.7	4.73	54.0
5.96	5.99	51.0
6.5	6.53	52.0
7.11	7.14	51.0
7.7	7.73	51.0
8.34	8.37	49.0
8.98	9.01	48.0
9.54	9.57	47.0
10.81	10.84	55.0
11.47	11.5	54.0
12.06	12.09	52.0
12.71	12.74	52.0
13.22	13.25	50.0
13.82	13.85	51.0
14.46	14.49	49.0
15.73	15.76	54.0
16.34	16.37	54.0
16.87	16.9	51.0
17.47	17.5	51.0
18.05	18.08	50.0
18.6	18.63	50.0
19.24	19.27	48.0
20.41	20.44	47.0
20.95	20.98	47.0
21.55	21.58	54.0
22.12	22.15	53.0
22.74	22.77	55.0
23.29	23.32	56.0
23.94	23.97	53.0
25.12	25.15	51.0
25.65	25.68	52.0
26.21	26.24	51.0
26.78	26.81	51.0
27.36	27.39	48.0
27.98	28.01	49.0
28.64	28.67	46.0
