onset	offset	pitch
1.16	1.19	63.0
1.57	1.6	61.0
1.96	1.99	61.0
2.74	2.77	61.0
3.16	3.19	58.0
3.56	3.59	58.0
4.37	4.4	57.0
4.82	4.85	58.0
5.2	5.23	61.0
5.54	5.57	61.0
5.95	5.98	64.0
6.35	6.38	64.0
6.78	6.81	64.0
7.69	7.72	64.0
8.09	8.12	60.0
8.46	8.49	60.0
8.95	8.98	61.0
9.35	9.38	62.0
9.78	9.81	58.0
10.22	10.25	58.0
11.14	11.17	57.0
11.53	11.56	60.0
12.0	12.03	64.0
12.36	12.39	64.0
12.8	12.83	61.0
13.2	13.23	61.0
13.62	13.65	61.0
14.51	14.54	59.0
14.94	14.97	59.0
15.34	15.37	59.0
15.79	15.82	59.0
16.29	16.32	59.0
16.67	16.7	61.0
17.13	17.16	62.0
17.93	17.96	61.0
18.36	18.39	62.0
18.79	18.82	61.0
19.2	19.23	61.0
19.61	19.64	61.0
20.04	20.07	62.0
20.4	20.43	64.0
21.2	21.23	64.0
21.62	21.65	61.0
22.05	22.08	61.0
22.89	22.92	62.0
23.3	23.33	59.0
23.72	23.75	59.0
24.51	24.54	57.0
24.95	24.98	60.0
25.31	25.34	64.0
25.68	25.71	64.0
26.17	26.2	61.0
26.61	26.64	61.0
26.97	27.0	61.0
