onset	offset	pitch
3.39	3.42	63.0
3.9	3.93	60.0
4.39	4.42	60.0
5.43	5.46	61.0
5.96	5.99	58.0
6.44	6.47	58.0
7.5	7.53	57.0
8.03	8.06	59.0
8.53	8.56	60.0
9.0	9.03	61.0
9.53	9.56	63.0
10.04	10.07	63.0
10.58	10.61	63.0
11.58	11.61	63.0
12.06	12.09	60.0
12.58	12.61	60.0
13.12	13.15	60.0
13.61	13.64	61.0
14.07	14.1	58.0
14.63	14.66	58.0
15.68	15.71	56.0
16.09	16.12	60.0
16.67	16.7	63.0
17.1	17.13	63.0
17.6	17.63	60.0
18.09	18.12	60.0
18.61	18.64	60.0
19.7	19.73	58.0
20.19	20.22	58.0
20.7	20.73	58.0
21.2	21.23	58.0
21.7	21.73	58.0
22.14	22.17	60.0
22.69	22.72	61.0
23.67	23.7	60.0
24.11	24.14	60.0
24.66	24.69	60.0
25.15	25.18	60.0
25.63	25.66	60.0
26.14	26.17	61.0
26.64	26.67	63.0
27.64	27.67	63.0
28.14	28.17	60.0
28.63	28.66	60.0
29.59	29.62	62.0
30.08	30.11	58.0
30.58	30.61	58.0
31.57	31.6	56.0
32.02	32.05	60.0
32.55	32.58	63.0
33.01	33.04	60.0
33.58	33.61	58.0
34.06	34.09	60.0
34.56	34.59	56.0
