onset	offset	pitch
3.18	3.21	51.0
3.67	3.7	48.0
4.12	4.15	48.0
5.12	5.15	50.0
5.6	5.63	46.0
6.04	6.07	46.0
6.95	6.98	44.0
7.46	7.49	46.0
7.93	7.96	48.0
8.38	8.41	49.0
8.83	8.86	51.0
9.38	9.41	51.0
9.89	9.92	51.0
10.82	10.85	51.0
11.28	11.31	48.0
11.75	11.78	48.0
12.25	12.28	49.0
12.71	12.74	50.0
13.18	13.21	46.0
13.68	13.71	46.0
14.67	14.7	45.0
15.09	15.12	49.0
15.63	15.66	51.0
16.05	16.08	51.0
16.54	16.57	48.0
17.01	17.04	48.0
17.45	17.48	49.0
18.49	18.52	47.0
18.93	18.96	47.0
19.44	19.47	47.0
19.9	19.93	47.0
20.38	20.41	47.0
20.91	20.94	49.0
21.37	21.4	49.0
22.32	22.35	49.0
22.8	22.83	49.0
23.25	23.28	49.0
23.78	23.81	49.0
24.26	24.29	48.0
24.72	24.75	49.0
25.15	25.18	51.0
26.13	26.16	52.0
26.57	26.6	48.0
27.06	27.09	48.0
27.98	28.01	50.0
28.43	28.46	46.0
28.91	28.94	47.0
29.89	29.92	44.0
30.26	30.29	48.0
30.74	30.77	51.0
31.2	31.23	51.0
31.72	31.75	48.0
32.2	32.23	48.0
32.67	32.7	48.0
