onset	offset	pitch
1.04	1.07	64.0
1.49	1.52	64.0
1.95	1.98	66.0
2.31	2.34	66.0
2.76	2.79	64.0
3.2	3.23	64.0
3.66	3.69	61.0
4.45	4.48	64.0
4.89	4.92	64.0
5.31	5.34	61.0
5.68	5.71	61.0
6.14	6.17	59.0
7.69	7.72	64.0
8.15	8.18	64.0
8.53	8.56	66.0
9.0	9.03	66.0
9.42	9.45	64.0
9.84	9.87	64.0
10.24	10.27	61.0
11.07	11.1	64.0
11.48	11.51	61.0
11.88	11.91	59.0
12.3	12.33	61.0
12.72	12.75	57.0
14.32	14.35	64.0
14.76	14.79	64.0
15.2	15.23	66.0
15.53	15.56	66.0
16.02	16.05	64.0
16.45	16.48	64.0
16.89	16.92	61.0
17.76	17.79	64.0
18.21	18.24	64.0
18.65	18.68	61.0
19.02	19.05	61.0
19.47	19.5	59.0
21.15	21.18	64.0
21.56	21.59	64.0
21.97	22.0	66.0
22.36	22.39	66.0
22.74	22.77	64.0
23.19	23.22	64.0
23.64	23.67	61.0
24.46	24.49	64.0
24.86	24.89	61.0
25.26	25.29	59.0
25.66	25.69	61.0
26.1	26.13	57.0
