onset	offset	pitch
1.53	1.56	42.14
2.26	2.29	42.14
3.0	3.03	47.04
3.67	3.7	49.27
4.47	4.5	51.42
5.98	6.01	47.28
6.34	6.37	46.07
6.73	6.76	44.22
7.47	7.5	52.32
8.19	8.22	52.32
8.92	8.95	52.14
10.46	10.49	51.24
10.79	10.82	52.49
11.25	11.28	54.45
12.93	12.96	47.28
13.29	13.32	46.56
13.65	13.68	46.8
14.38	14.41	45.82
15.1	15.13	47.04
15.84	15.87	48.84
19.38	19.41	42.14
20.05	20.08	42.14
20.91	20.94	47.04
21.56	21.59	49.06
22.36	22.39	51.42
23.78	23.81	47.04
24.14	24.17	45.82
24.51	24.54	44.22
25.26	25.29	52.49
25.89	25.92	52.49
26.58	26.61	52.49
28.08	28.11	51.05
28.4	28.43	52.32
28.9	28.93	51.24
29.87	29.9	49.06
30.28	30.31	46.8
30.96	30.99	46.07
31.7	31.73	47.04
32.38	32.41	49.06
33.1	33.13	46.8
