onset	offset	pitch
1.48	1.51	54.0
2.0	2.03	51.0
2.53	2.56	51.0
3.64	3.67	52.0
4.21	4.24	49.0
4.72	4.75	49.0
5.82	5.85	47.0
6.35	6.38	49.0
6.84	6.87	51.0
7.35	7.38	52.0
7.83	7.86	54.0
8.38	8.41	54.0
8.9	8.93	54.0
10.05	10.08	54.0
10.53	10.56	51.0
11.04	11.07	51.0
11.54	11.57	51.0
12.11	12.14	52.0
12.63	12.66	49.0
13.1	13.13	49.0
14.3	14.33	47.0
14.8	14.83	51.0
15.37	15.4	54.0
15.91	15.94	54.0
16.4	16.43	51.0
16.91	16.94	51.0
17.4	17.43	51.0
18.6	18.63	49.0
19.17	19.2	49.0
19.67	19.7	49.0
20.19	20.22	49.0
20.77	20.8	49.0
21.28	21.31	51.0
21.86	21.89	52.0
23.05	23.08	52.0
23.54	23.57	51.0
24.09	24.12	51.0
24.64	24.67	51.0
25.18	25.21	51.0
25.75	25.78	52.0
26.27	26.3	54.0
27.36	27.39	54.0
27.87	27.9	50.0
28.43	28.46	51.0
29.51	29.54	52.0
30.03	30.06	49.0
30.59	30.62	49.0
31.67	31.7	47.0
32.15	32.18	50.0
32.66	32.69	54.0
33.13	33.16	54.0
33.72	33.75	50.0
34.26	34.29	51.0
34.74	34.77	51.0
