onset	offset	pitch
0.1	0.13	42.14
0.64	0.67	43.36
1.2	1.23	42.14
1.71	1.74	43.36
2.26	2.29	44.77
2.81	2.84	42.14
3.8	3.83	42.14
4.3	4.33	45.82
4.76	4.79	43.65
5.26	5.29	41.5
5.85	5.88	40.83
6.32	6.35	38.67
6.85	6.88	37.06
8.01	8.04	43.36
8.53	8.56	41.5
9.03	9.06	40.14
9.62	9.65	43.36
10.11	10.14	41.5
10.58	10.61	40.83
11.08	11.11	39.05
12.01	12.04	44.77
12.54	12.57	42.76
13.13	13.16	41.17
13.55	13.58	38.67
14.13	14.16	42.14
14.62	14.65	40.14
15.12	15.15	37.06
16.46	16.49	43.06
16.91	16.94	41.82
17.51	17.54	43.36
17.98	18.01	41.5
18.53	18.56	42.76
19.06	19.09	43.93
19.63	19.66	41.5
20.61	20.64	43.36
21.11	21.14	37.06
21.6	21.63	39.42
22.14	22.17	40.49
22.65	22.68	42.14
23.08	23.11	40.83
23.63	23.66	41.82
