onset	offset	pitch
1.38	1.41	47.28
2.46	2.49	40.83
2.83	2.86	42.45
3.22	3.25	44.77
3.59	3.62	45.56
4.04	4.07	47.28
5.92	5.95	40.83
6.51	6.54	49.27
7.45	7.48	47.04
8.28	8.31	44.77
8.66	8.69	47.04
8.88	8.91	49.06
9.39	9.42	51.24
9.78	9.81	51.96
11.28	11.31	39.79
12.67	12.7	45.3
14.18	14.21	47.74
14.57	14.6	45.3
14.92	14.95	44.22
15.34	15.37	41.5
15.87	15.9	43.93
17.24	17.27	45.03
17.8	17.83	44.77
17.93	17.96	42.14
18.32	18.35	40.14
18.69	18.72	42.14
20.13	20.16	40.49
20.46	20.49	42.14
20.9	20.93	44.77
21.28	21.31	40.49
21.9	21.93	44.22
22.41	22.44	42.14
24.54	24.57	47.04
25.99	26.02	40.14
26.35	26.38	42.45
26.73	26.76	44.22
27.14	27.17	45.56
27.64	27.67	46.8
29.64	29.67	40.83
30.26	30.29	49.27
31.16	31.19	47.04
31.91	31.94	45.03
32.37	32.4	47.74
32.58	32.61	49.88
32.97	33.0	51.6
33.37	33.4	52.32
34.82	34.85	40.14
36.32	36.35	45.3
37.79	37.82	46.8
38.2	38.23	45.03
38.51	38.54	44.49
38.88	38.91	42.45
39.39	39.42	43.93
40.74	40.77	45.56
41.03	41.06	44.49
41.42	41.45	41.82
41.79	41.82	40.14
42.2	42.23	42.14
43.83	43.86	44.77
43.98	44.01	42.14
44.42	44.45	40.49
44.83	44.86	39.79
45.2	45.23	40.14
