onset	offset	pitch
0.05	0.08	39.79
0.75	0.78	39.05
1.57	1.6	39.79
2.51	2.54	38.67
3.39	3.42	39.42
4.23	4.26	41.82
5.07	5.1	39.05
6.68	6.71	39.42
7.4	7.43	44.22
8.28	8.31	42.14
9.1	9.13	40.14
10.12	10.15	38.67
10.83	10.86	36.63
11.7	11.73	34.8
13.33	13.36	41.82
14.11	14.14	39.79
15.07	15.1	38.67
15.76	15.79	41.82
16.65	16.68	39.79
17.49	17.52	38.67
18.24	18.27	36.19
19.94	19.97	41.5
20.7	20.73	39.79
21.5	21.53	38.67
22.21	22.24	36.63
23.15	23.18	38.67
23.9	23.93	37.06
24.71	24.74	35.28
26.3	26.33	39.42
27.15	27.18	39.42
27.95	27.98	39.79
28.83	28.86	39.42
29.64	29.67	40.14
30.46	30.49	41.5
31.37	31.4	39.05
32.99	33.02	39.79
33.82	33.85	34.32
34.52	34.55	36.63
35.51	35.54	39.05
36.3	36.33	39.42
37.13	37.16	39.05
37.98	38.01	39.79
