onset	offset	pitch
0.43	0.46	49.0
0.97	1.0	49.0
1.49	1.52	51.0
2.0	2.03	51.0
2.56	2.59	49.0
3.1	3.13	49.0
3.67	3.7	46.0
4.74	4.77	49.0
5.31	5.34	49.0
5.8	5.83	46.0
6.31	6.34	46.0
6.87	6.9	44.0
9.07	9.1	49.0
9.55	9.58	49.0
10.08	10.11	51.0
10.61	10.64	51.0
11.18	11.21	48.0
11.75	11.78	48.0
12.26	12.29	46.0
13.33	13.36	48.0
13.84	13.87	46.0
14.32	14.35	44.0
14.89	14.92	46.0
15.42	15.45	42.0
17.57	17.6	48.0
18.1	18.13	49.0
18.6	18.63	51.0
19.08	19.11	51.0
19.63	19.66	49.0
20.16	20.19	49.0
20.71	20.74	46.0
21.78	21.81	49.0
22.32	22.35	49.0
22.8	22.83	46.0
23.32	23.35	46.0
23.89	23.92	44.0
26.04	26.07	49.0
26.49	26.52	49.0
27.05	27.08	52.0
27.59	27.62	51.0
28.08	28.11	48.0
28.61	28.64	49.0
29.19	29.22	46.0
30.26	30.29	49.0
30.8	30.83	46.0
31.27	31.3	44.0
31.78	31.81	46.0
32.31	32.34	42.0
