onset	offset	pitch
0.1	0.13	34.8
0.27	0.3	34.32
0.59	0.62	40.83
0.9	0.93	34.8
1.2	1.23	31.65
1.55	1.58	35.74
1.89	1.92	40.14
2.44	2.47	40.49
2.7	2.73	36.19
3.08	3.11	32.22
3.42	3.45	36.63
3.74	3.77	40.14
4.87	4.9	36.19
5.13	5.16	36.63
5.48	5.51	40.14
5.72	5.75	35.28
6.09	6.12	32.77
6.38	6.41	37.06
6.74	6.77	34.8
7.31	7.34	35.28
7.59	7.62	31.65
7.89	7.92	27.05
8.21	8.24	32.22
8.55	8.58	34.8
9.57	9.6	30.45
9.84	9.87	34.32
10.15	10.18	39.05
10.45	10.48	35.28
10.72	10.75	39.42
11.0	11.03	39.42
11.31	11.34	34.8
11.9	11.93	34.32
12.16	12.19	31.65
12.46	12.49	27.79
12.75	12.78	32.22
13.1	13.13	34.8
14.08	14.11	31.06
14.4	14.43	34.8
14.69	14.72	38.67
14.96	14.99	34.32
15.24	15.27	39.05
15.5	15.53	39.42
15.81	15.84	34.8
16.36	16.39	43.65
16.91	16.94	42.76
17.54	17.57	39.42
