onset	offset	pitch
2.47	2.5	53.0
3.09	3.12	50.0
3.61	3.64	50.0
4.65	4.68	51.0
5.27	5.3	48.0
5.78	5.81	48.0
6.84	6.87	46.0
7.4	7.43	48.0
7.95	7.98	50.0
8.47	8.5	51.0
9.07	9.1	53.0
9.57	9.6	53.0
10.1	10.13	53.0
11.28	11.31	53.0
11.8	11.83	50.0
12.26	12.29	50.0
12.86	12.89	50.0
13.38	13.41	51.0
13.98	14.01	48.0
14.52	14.55	48.0
15.67	15.7	46.0
16.2	16.23	50.0
16.77	16.8	54.0
17.32	17.35	53.0
17.8	17.83	50.0
18.34	18.37	50.0
18.86	18.89	50.0
20.0	20.03	49.0
20.58	20.61	48.0
21.11	21.14	49.0
21.65	21.68	48.0
22.21	22.24	48.0
22.74	22.77	50.0
23.28	23.31	51.0
24.31	24.34	50.0
24.82	24.85	50.0
25.36	25.39	50.0
25.91	25.94	50.0
26.48	26.51	50.0
27.06	27.09	51.0
27.58	27.61	53.0
28.62	28.65	53.0
29.16	29.19	50.0
29.71	29.74	50.0
30.74	30.77	52.0
31.26	31.29	48.0
31.83	31.86	48.0
32.88	32.91	47.0
33.41	33.44	50.0
33.96	33.99	53.0
34.51	34.54	53.0
35.11	35.14	51.0
35.67	35.7	51.0
36.18	36.21	50.0
