onset	offset	pitch
0.13	0.16	31.06
0.35	0.38	27.79
0.73	0.76	28.49
1.08	1.11	27.79
1.47	1.5	29.82
1.84	1.87	28.49
2.2	2.23	27.79
2.51	2.54	28.49
3.04	3.07	31.65
3.41	3.44	31.65
3.82	3.85	33.3
4.23	4.26	31.06
4.75	4.78	29.17
6.41	6.44	31.06
6.95	6.98	27.05
7.44	7.47	27.05
7.88	7.91	26.28
8.44	8.47	30.45
8.82	8.85	26.28
9.2	9.23	26.28
9.64	9.67	27.05
10.14	10.17	29.17
10.5	10.53	29.82
10.93	10.96	31.65
11.33	11.36	27.79
11.79	11.82	24.63
13.55	13.58	30.45
13.99	14.02	31.06
14.39	14.42	32.77
14.78	14.81	32.77
15.3	15.33	31.06
15.72	15.75	31.06
16.09	16.12	27.79
17.1	17.13	27.05
17.51	17.54	24.63
17.88	17.91	27.05
18.3	18.33	29.17
18.77	18.8	31.06
20.52	20.55	30.45
20.9	20.93	31.06
21.29	21.32	32.22
21.68	21.71	32.77
22.16	22.19	31.06
22.59	22.62	31.06
23.07	23.1	27.79
23.93	23.96	27.05
24.38	24.41	29.82
24.81	24.84	28.49
25.24	25.27	27.05
25.7	25.73	25.47
