onset	offset	pitch
0.94	0.97	49.47
1.59	1.62	49.27
1.93	1.96	47.97
2.3	2.33	49.68
3.03	3.06	52.66
3.62	3.65	45.03
4.29	4.32	45.03
4.74	4.77	43.06
5.09	5.12	45.03
5.8	5.83	47.74
6.56	6.59	49.88
6.9	6.93	49.68
7.12	7.15	49.68
7.62	7.65	48.19
7.93	7.96	49.47
8.64	8.67	52.49
9.01	9.04	52.49
9.27	9.3	45.3
10.11	10.14	45.03
10.48	10.51	43.36
10.84	10.87	45.3
11.52	11.55	47.97
12.48	12.51	40.83
13.13	13.16	41.17
13.46	13.49	42.76
13.86	13.89	40.83
14.53	14.56	41.5
14.86	14.89	43.36
15.23	15.26	45.03
15.84	15.87	43.36
16.65	16.68	45.3
18.17	18.2	50.28
18.51	18.54	50.08
18.87	18.9	50.08
19.21	19.24	45.3
19.59	19.62	24.63
