onset	offset	pitch
0.82	0.85	44.49
1.75	1.78	47.51
3.01	3.04	40.49
4.16	4.19	42.14
5.11	5.14	44.22
6.1	6.13	35.28
7.53	7.56	40.49
8.42	8.45	42.14
9.31	9.34	44.22
10.16	10.19	47.04
11.29	11.32	42.45
14.16	14.19	44.49
15.0	15.03	47.74
15.8	15.83	40.49
17.17	17.2	42.14
18.16	18.19	44.22
18.92	18.95	37.47
20.38	20.41	42.14
21.34	21.37	35.28
22.27	22.3	42.14
23.12	23.15	43.93
23.97	24.0	40.14
27.03	27.06	49.27
28.97	29.0	47.04
30.31	30.34	49.06
32.19	32.22	40.49
33.82	33.85	44.22
34.61	34.64	37.47
35.72	35.75	44.49
36.57	36.6	47.04
37.4	37.43	42.14
40.57	40.6	44.22
41.44	41.47	47.28
42.24	42.27	40.49
43.68	43.71	41.82
44.74	44.77	44.49
45.58	45.61	37.47
47.01	47.04	42.45
48.13	48.16	35.74
48.99	49.02	42.45
49.75	49.78	44.49
50.48	50.51	40.49
