onset	offset	pitch
3.48	3.51	53.0
4.01	4.04	53.0
4.59	4.62	55.0
5.12	5.15	55.0
5.68	5.71	53.0
6.24	6.27	53.0
6.81	6.84	50.0
8.02	8.05	53.0
8.59	8.62	53.0
9.18	9.21	50.0
9.67	9.7	50.0
10.3	10.33	48.0
12.37	12.4	53.0
12.92	12.95	53.0
13.46	13.49	55.0
14.02	14.05	55.0
14.58	14.61	53.0
15.11	15.14	53.0
15.67	15.7	50.0
16.79	16.82	54.0
17.38	17.41	50.0
17.91	17.94	48.0
18.47	18.5	50.0
18.97	19.0	46.0
21.11	21.14	53.0
21.66	21.69	53.0
22.21	22.24	55.0
22.68	22.71	55.0
23.27	23.3	53.0
23.84	23.87	53.0
24.44	24.47	50.0
25.57	25.6	53.0
26.14	26.17	53.0
26.68	26.71	50.0
27.22	27.25	50.0
27.81	27.84	48.0
29.94	29.97	54.0
30.39	30.42	54.0
31.0	31.03	56.0
31.53	31.56	55.0
32.09	32.12	53.0
32.6	32.63	53.0
33.19	33.22	50.0
34.28	34.31	53.0
34.8	34.83	50.0
35.37	35.4	48.0
35.88	35.91	50.0
36.51	36.54	46.0
