onset	offset	pitch
0.24	0.27	35.28
0.54	0.57	35.28
0.85	0.88	31.65
1.18	1.21	29.17
1.54	1.57	33.82
1.87	1.9	33.3
2.15	2.18	29.82
2.53	2.56	27.05
2.8	2.83	31.65
3.11	3.14	31.65
3.42	3.45	27.05
3.69	3.72	29.17
4.09	4.12	25.47
4.41	4.44	22.8
5.01	5.04	32.77
5.33	5.36	35.74
5.64	5.67	36.19
5.87	5.9	32.22
6.19	6.22	29.82
6.52	6.55	33.82
6.82	6.85	34.32
7.1	7.13	29.82
7.37	7.4	32.22
7.64	7.67	27.79
7.92	7.95	30.45
8.3	8.33	27.05
8.56	8.59	28.49
9.65	9.68	37.06
9.95	9.98	37.06
10.22	10.25	37.06
10.53	10.56	40.14
10.82	10.85	35.74
11.11	11.14	35.74
11.38	11.41	36.19
11.92	11.95	33.82
12.21	12.24	34.32
12.46	12.49	34.32
12.74	12.77	35.28
12.99	13.02	32.22
13.24	13.27	32.22
13.42	13.45	32.22
14.1	14.13	36.63
14.33	14.36	37.47
14.68	14.71	36.63
14.97	15.0	39.42
15.25	15.28	34.8
15.5	15.53	32.22
15.8	15.83	33.3
16.04	16.07	29.82
16.33	16.36	32.22
16.62	16.65	28.49
16.85	16.88	31.06
17.23	17.26	27.05
17.47	17.5	28.49
