onset	offset	pitch
0.6	0.63	44.77
1.3	1.33	44.49
1.73	1.76	47.97
2.44	2.47	41.82
3.13	3.16	44.77
3.6	3.63	45.56
4.01	4.04	47.51
4.7	4.73	40.49
5.41	5.44	44.77
5.93	5.96	46.32
6.34	6.37	47.51
6.66	6.69	52.66
7.13	7.16	51.6
7.43	7.46	49.27
7.98	8.01	47.74
10.19	10.22	44.22
10.69	10.72	47.74
11.04	11.07	52.14
11.83	11.86	47.28
12.65	12.68	44.49
13.01	13.04	47.28
13.37	13.4	52.32
14.14	14.17	46.8
14.88	14.91	44.49
15.24	15.27	47.74
15.6	15.63	52.66
16.01	16.04	47.51
16.39	16.42	44.77
16.81	16.84	48.19
17.17	17.2	52.32
19.14	19.17	54.14
19.82	19.85	52.32
21.28	21.31	54.91
21.94	21.97	52.14
23.36	23.39	52.14
23.68	23.71	52.66
24.11	24.14	54.76
24.46	24.49	52.49
24.95	24.98	51.42
25.24	25.27	49.47
25.68	25.71	54.14
26.45	26.48	47.28
27.79	27.82	53.98
28.55	28.58	47.97
29.95	29.98	55.36
30.67	30.7	47.97
32.11	32.14	51.79
32.46	32.49	52.83
32.84	32.87	54.76
33.2	33.23	52.32
33.63	33.66	51.42
33.92	33.95	48.63
34.46	34.49	47.51
35.2	35.23	52.32
