onset	offset	pitch
2.98	3.01	40.49
3.55	3.58	39.89
4.09	4.12	40.49
4.65	4.68	39.75
5.2	5.23	40.54
5.7	5.73	42.59
6.28	6.31	40.14
7.4	7.43	40.54
7.94	7.97	44.49
8.43	8.46	42.14
8.98	9.01	40.35
9.56	9.59	39.79
10.04	10.07	37.06
10.61	10.64	35.34
11.76	11.79	42.45
12.19	12.22	40.83
12.83	12.86	40.14
13.34	13.37	43.65
13.83	13.86	40.49
14.44	14.47	40.14
14.9	14.93	37.06
16.15	16.18	42.36
16.54	16.57	40.83
17.14	17.17	40.14
17.62	17.65	37.88
18.18	18.21	40.14
18.54	18.57	38.36
19.26	19.29	36.19
20.37	20.4	40.83
20.91	20.94	39.79
21.42	21.45	40.83
21.98	22.01	40.14
22.49	22.52	40.83
23.01	23.04	43.36
23.64	23.67	40.83
24.66	24.69	40.49
25.25	25.28	36.19
25.68	25.71	38.28
26.3	26.33	40.49
26.8	26.83	40.83
27.4	27.43	40.14
27.87	27.9	40.83
