onset	offset	pitch
1.28	1.31	51.0
1.75	1.78	48.0
2.19	2.22	48.0
3.17	3.2	49.0
3.64	3.67	46.0
4.14	4.17	46.0
5.05	5.08	45.0
5.57	5.6	46.0
6.03	6.06	47.0
6.49	6.52	49.0
6.97	7.0	50.0
7.46	7.49	51.0
7.92	7.95	50.0
8.88	8.91	51.0
9.35	9.38	48.0
9.82	9.85	47.0
10.33	10.36	48.0
10.79	10.82	49.0
11.27	11.3	45.0
11.76	11.79	46.0
12.77	12.8	44.0
13.2	13.23	48.0
13.69	13.72	51.0
14.17	14.2	50.0
14.65	14.68	48.0
15.11	15.14	48.0
15.57	15.6	48.0
16.58	16.61	46.0
17.03	17.06	46.0
17.52	17.55	46.0
17.98	18.01	46.0
18.42	18.45	46.0
18.88	18.91	48.0
19.37	19.4	49.0
20.3	20.33	48.0
20.77	20.8	48.0
21.26	21.29	48.0
21.71	21.74	48.0
22.21	22.24	48.0
22.7	22.73	49.0
23.16	23.19	51.0
24.1	24.13	51.0
24.58	24.61	47.0
25.03	25.06	47.0
25.91	25.94	48.0
26.39	26.42	46.0
26.85	26.88	46.0
27.78	27.81	44.0
28.21	28.24	47.0
28.69	28.72	50.0
29.18	29.21	50.0
29.66	29.69	48.0
30.16	30.19	48.0
30.59	30.62	48.0
