onset	offset	pitch
0.05	0.08	43.93
0.68	0.71	42.45
1.21	1.24	43.36
1.74	1.77	42.14
2.41	2.44	43.36
2.98	3.01	45.03
3.62	3.65	42.76
4.77	4.8	42.37
5.45	5.48	47.04
6.0	6.03	42.37
6.59	6.62	41.82
7.26	7.29	41.17
7.81	7.84	39.42
8.43	8.46	37.47
9.55	9.58	43.65
10.06	10.09	41.17
10.56	10.59	39.79
11.23	11.26	43.36
11.85	11.88	41.82
12.51	12.54	41.17
13.03	13.06	38.67
14.05	14.08	45.03
14.67	14.7	42.45
15.32	15.35	40.49
15.81	15.84	39.05
16.43	16.46	41.82
16.97	17.0	39.42
17.5	17.53	36.84
18.59	18.62	43.06
19.22	19.25	41.5
19.78	19.81	42.45
20.41	20.44	41.5
21.01	21.04	42.76
21.59	21.62	44.77
22.25	22.28	41.5
23.3	23.33	44.49
23.89	23.92	37.47
24.49	24.52	40.14
25.07	25.1	41.82
25.6	25.63	42.76
26.22	26.25	41.17
26.7	26.73	41.82
