onset	offset	pitch
1.79	1.82	51.05
2.58	2.61	54.14
3.46	3.49	51.42
4.16	4.19	49.27
4.62	4.65	51.24
4.99	5.02	54.14
5.78	5.81	51.24
6.12	6.15	49.27
6.62	6.65	51.42
8.17	8.2	51.42
8.9	8.93	54.14
9.76	9.79	50.86
10.04	10.07	48.63
10.55	10.58	47.04
11.3	11.33	49.06
12.02	12.05	51.6
12.39	12.42	54.3
12.83	12.86	49.27
14.13	14.16	51.79
14.58	14.61	47.51
15.31	15.34	47.51
15.67	15.7	44.49
16.12	16.15	42.14
17.31	17.34	43.93
17.75	17.78	47.74
18.46	18.49	49.27
18.89	18.92	51.6
19.32	19.35	47.28
20.84	20.87	49.27
21.97	22.0	51.42
22.27	22.3	49.27
23.09	23.12	49.27
23.51	23.54	51.42
23.94	23.97	54.45
24.66	24.69	56.22
25.07	25.1	54.45
25.57	25.6	51.6
27.1	27.13	51.6
27.89	27.92	54.14
28.64	28.67	51.24
28.99	29.02	49.27
29.47	29.5	47.28
30.24	30.27	49.27
31.01	31.04	51.96
31.39	31.42	53.98
31.82	31.85	49.06
33.18	33.21	51.24
33.67	33.7	47.04
34.42	34.45	47.51
34.78	34.81	44.22
35.13	35.16	41.82
36.42	36.45	44.22
36.83	36.86	47.28
37.5	37.53	49.27
37.92	37.95	51.42
38.34	38.37	47.28
39.78	39.81	51.24
41.13	41.16	53.82
41.87	41.9	51.24
43.22	43.25	48.41
43.61	43.64	51.05
44.01	44.04	53.98
45.5	45.53	50.86
45.79	45.82	48.41
46.29	46.32	51.05
48.39	48.42	51.05
49.74	49.77	54.14
50.49	50.52	51.24
51.1	51.13	49.06
51.87	51.9	47.04
52.57	52.6	49.06
53.92	53.95	51.42
54.24	54.27	53.82
54.61	54.64	49.06
56.22	56.25	51.79
56.94	56.97	47.04
58.36	58.39	47.04
58.67	58.7	44.22
59.09	59.12	42.14
60.5	60.53	43.93
61.15	61.18	47.04
62.4	62.43	48.63
62.84	62.87	51.05
63.24	63.27	47.04
65.28	65.31	49.06
66.7	66.73	51.24
67.28	67.31	49.06
68.67	68.7	51.24
69.38	69.41	54.14
70.72	70.75	55.93
71.05	71.08	54.45
71.55	71.58	51.24
73.63	73.66	51.05
74.87	74.9	54.14
75.62	75.65	51.42
76.27	76.3	49.06
76.95	76.98	47.51
77.62	77.65	49.27
78.85	78.88	51.6
79.17	79.2	54.45
79.6	79.63	49.27
81.0	81.03	51.6
81.65	81.68	47.28
82.88	82.91	47.51
83.21	83.24	43.93
83.58	83.61	41.82
84.99	85.02	44.22
85.67	85.7	47.51
86.91	86.94	49.68
87.35	87.38	51.24
87.76	87.79	47.28
