onset	offset	pitch
0.64	0.67	46.0
1.28	1.31	46.0
1.86	1.89	53.0
2.48	2.51	53.0
3.13	3.16	55.0
3.7	3.73	55.0
4.32	4.35	53.0
5.58	5.61	51.0
6.16	6.19	51.0
6.75	6.78	51.0
7.4	7.43	51.0
8.04	8.07	49.0
8.71	8.74	49.0
9.31	9.34	46.0
10.54	10.57	53.0
11.17	11.2	53.0
11.75	11.78	52.0
12.36	12.39	52.0
12.99	13.02	50.0
13.61	13.64	50.0
14.24	14.27	48.0
15.42	15.45	53.0
16.04	16.07	53.0
16.62	16.65	51.0
17.22	17.25	52.0
17.82	17.85	51.0
18.42	18.45	51.0
19.03	19.06	48.0
20.21	20.24	47.0
20.84	20.87	47.0
21.44	21.47	53.0
22.04	22.07	53.0
22.65	22.68	55.0
23.24	23.27	55.0
23.86	23.89	53.0
25.12	25.15	51.0
25.73	25.76	51.0
26.31	26.34	50.0
26.97	27.0	50.0
27.6	27.63	48.0
28.23	28.26	49.0
28.8	28.83	46.0
