onset	offset	pitch
3.14	3.17	59.0
3.58	3.61	59.0
3.99	4.02	67.0
4.46	4.49	66.0
4.9	4.93	68.0
5.37	5.4	68.0
5.85	5.88	66.0
6.71	6.74	63.0
7.23	7.26	63.0
7.67	7.7	62.0
8.12	8.15	62.0
8.62	8.65	60.0
9.07	9.1	61.0
9.52	9.55	59.0
10.49	10.52	65.0
10.94	10.97	66.0
11.36	11.39	63.0
11.82	11.85	64.0
12.26	12.29	62.0
12.77	12.8	63.0
13.19	13.22	60.0
14.06	14.09	66.0
14.47	14.5	66.0
14.9	14.93	64.0
15.28	15.31	64.0
15.73	15.76	63.0
16.23	16.26	63.0
16.67	16.7	61.0
17.57	17.6	58.0
18.02	18.05	58.0
18.47	18.5	66.0
18.89	18.92	66.0
19.32	19.35	68.0
19.75	19.78	68.0
20.19	20.22	66.0
21.13	21.16	64.0
21.64	21.67	64.0
22.05	22.08	63.0
22.55	22.58	62.0
22.95	22.98	60.0
23.46	23.49	60.0
23.89	23.92	58.0
