onset	offset	pitch
1.86	1.89	51.0
2.48	2.51	47.0
2.91	2.94	48.0
3.94	3.97	49.0
4.49	4.52	45.0
4.92	4.95	45.0
5.91	5.94	44.0
6.46	6.49	46.0
6.92	6.95	49.0
7.35	7.38	50.0
7.87	7.9	52.0
8.36	8.39	52.0
8.79	8.82	52.0
9.86	9.89	52.0
10.36	10.39	48.0
10.85	10.88	48.0
11.35	11.38	48.0
11.85	11.88	50.0
12.32	12.35	46.0
12.77	12.8	46.0
13.87	13.9	44.0
14.24	14.27	47.0
14.8	14.83	51.0
15.19	15.22	51.0
15.76	15.79	48.0
16.2	16.23	48.0
16.66	16.69	48.0
17.79	17.82	45.0
18.27	18.3	45.0
18.66	18.69	46.0
19.17	19.2	46.0
19.7	19.73	45.0
20.15	20.18	47.0
20.62	20.65	49.0
21.57	21.6	47.0
21.97	22.0	48.0
22.44	22.47	48.0
22.86	22.89	48.0
23.31	23.34	48.0
23.82	23.85	49.0
24.25	24.28	50.0
25.21	25.24	51.0
25.65	25.68	47.0
26.09	26.12	47.0
27.01	27.04	49.0
27.43	27.46	46.0
27.9	27.93	46.0
28.84	28.87	44.0
29.25	29.28	48.0
29.65	29.68	51.0
30.07	30.1	51.0
30.66	30.69	48.0
31.16	31.19	48.0
31.57	31.6	48.0
