onset	offset	pitch
0.51	0.54	46.8
0.98	1.01	48.84
1.29	1.32	50.86
1.49	1.52	52.14
3.2	3.23	53.98
3.41	3.44	51.79
3.76	3.79	50.47
4.04	4.07	48.41
4.41	4.44	46.32
5.87	5.9	44.49
6.44	6.47	44.22
6.76	6.79	47.97
7.1	7.13	46.8
7.75	7.78	44.22
8.53	8.56	43.93
8.85	8.88	42.45
9.25	9.28	43.93
9.58	9.61	44.49
10.08	10.11	46.8
11.75	11.78	46.8
12.38	12.41	48.63
12.71	12.74	50.67
13.02	13.05	51.6
14.43	14.46	53.98
14.74	14.77	55.93
15.06	15.09	53.98
15.36	15.39	51.79
15.79	15.82	50.47
17.18	17.21	48.41
17.8	17.83	48.63
18.18	18.21	50.28
18.49	18.52	51.42
19.18	19.21	46.32
19.87	19.9	44.22
20.19	20.22	43.65
20.58	20.61	41.82
20.92	20.95	43.65
21.38	21.41	42.14
