onset	offset	pitch
0.44	0.47	47.04
0.73	0.76	43.93
0.99	1.02	44.22
1.19	1.22	43.93
1.62	1.65	47.51
1.95	1.98	43.93
2.28	2.31	43.93
2.56	2.59	43.93
2.89	2.92	47.04
3.21	3.24	46.8
3.54	3.57	48.84
3.89	3.92	47.04
4.2	4.23	45.03
5.54	5.57	46.8
5.84	5.87	41.5
6.1	6.13	41.82
6.42	6.45	42.14
6.76	6.79	47.04
7.06	7.09	41.82
7.38	7.41	41.82
7.63	7.66	41.82
7.97	8.0	44.77
8.28	8.31	44.49
8.65	8.68	46.8
8.89	8.92	42.14
9.31	9.34	40.14
10.62	10.65	47.04
10.91	10.94	47.28
11.21	11.24	48.84
11.47	11.5	49.06
11.84	11.87	47.04
12.15	12.18	46.8
12.38	12.41	43.65
13.17	13.2	41.82
13.47	13.5	39.79
13.78	13.81	41.82
14.09	14.12	43.65
14.47	14.5	47.04
15.77	15.8	46.8
16.06	16.09	47.04
16.34	16.37	48.84
16.62	16.65	48.84
16.99	17.02	47.04
17.3	17.33	46.8
17.62	17.65	44.22
18.26	18.29	41.17
18.58	18.61	44.49
