onset	offset	pitch
3.53	3.56	45.0
4.03	4.06	44.0
4.47	4.5	51.0
5.0	5.03	51.0
5.47	5.5	53.0
5.93	5.96	53.0
6.44	6.47	50.0
7.44	7.47	49.0
7.98	8.01	49.0
8.41	8.44	48.0
8.88	8.91	48.0
9.37	9.4	46.0
9.92	9.95	46.0
10.37	10.4	44.0
11.36	11.39	51.0
11.81	11.84	51.0
12.26	12.29	49.0
12.82	12.85	49.0
13.26	13.29	49.0
13.75	13.78	49.0
14.26	14.29	46.0
15.24	15.27	51.0
15.74	15.77	51.0
16.21	16.24	49.0
16.74	16.77	49.0
17.14	17.17	49.0
17.7	17.73	49.0
18.2	18.23	46.0
19.18	19.21	45.0
19.65	19.68	45.0
20.09	20.12	51.0
20.65	20.68	51.0
21.13	21.16	53.0
21.58	21.61	53.0
22.07	22.1	51.0
23.07	23.1	49.0
23.55	23.58	49.0
24.04	24.07	48.0
24.53	24.56	49.0
25.01	25.04	46.0
25.53	25.56	46.0
26.02	26.05	44.0
