onset	offset	pitch
1.63	1.66	40.83
2.22	2.25	40.14
2.74	2.77	40.83
3.34	3.37	39.79
3.83	3.86	40.83
4.37	4.4	42.76
4.94	4.97	40.14
6.07	6.1	40.83
6.59	6.62	44.49
7.06	7.09	42.45
7.64	7.67	40.49
8.23	8.26	39.79
8.7	8.73	37.47
9.28	9.31	35.28
10.35	10.38	42.14
10.85	10.88	40.83
11.48	11.51	40.14
11.98	12.01	42.76
12.5	12.53	40.83
13.09	13.12	40.14
13.56	13.59	37.88
14.68	14.71	42.45
15.19	15.22	41.17
15.8	15.83	39.79
16.27	16.3	37.88
16.85	16.88	40.14
17.19	17.22	37.88
17.91	17.94	36.63
19.03	19.06	41.17
19.58	19.61	40.14
20.08	20.11	40.83
20.65	20.68	40.49
21.15	21.18	41.17
21.68	21.71	43.06
22.3	22.33	40.83
23.32	23.35	41.17
23.91	23.94	36.63
24.34	24.37	38.67
24.97	25.0	40.49
25.46	25.49	40.83
26.06	26.09	40.49
26.53	26.56	22.8
