onset	offset	pitch
1.45	1.48	47.28
2.29	2.32	44.49
2.85	2.88	46.91
3.07	3.1	47.28
3.84	3.87	52.66
4.68	4.71	51.79
5.25	5.28	51.03
5.48	5.51	51.6
6.01	6.04	49.27
6.28	6.31	47.28
7.69	7.72	49.47
8.56	8.59	45.56
9.13	9.16	47.04
9.32	9.35	49.27
10.04	10.07	49.27
10.9	10.93	47.74
11.46	11.49	47.51
11.68	11.71	45.3
12.16	12.19	44.77
12.4	12.43	42.14
13.9	13.93	44.49
14.77	14.8	44.49
15.29	15.32	46.07
15.5	15.53	47.28
16.23	16.26	40.14
17.12	17.15	52.49
17.55	17.58	52.66
17.82	17.85	52.14
18.48	18.51	51.42
18.6	18.63	49.27
20.1	20.13	47.74
20.91	20.94	47.28
21.47	21.5	47.04
21.65	21.68	49.27
22.43	22.46	52.49
23.18	23.21	54.76
23.68	23.71	54.91
24.02	24.05	54.3
24.74	24.77	52.66
26.26	26.29	56.49
27.21	27.24	54.61
27.88	27.91	56.63
29.41	29.44	52.83
30.2	30.23	49.68
31.01	31.04	47.51
32.3	32.33	49.68
33.1	33.13	49.47
33.96	33.99	52.49
35.32	35.35	47.51
36.07	36.1	54.3
36.91	36.94	54.61
38.42	38.45	56.63
39.16	39.19	54.76
39.98	40.01	56.35
41.69	41.72	54.91
42.4	42.43	52.66
43.11	43.14	49.27
44.65	44.68	47.51
45.38	45.41	47.28
46.08	46.11	49.27
47.47	47.5	54.45
48.26	48.29	54.45
49.01	49.04	52.49
