onset	offset	pitch
1.55	1.58	43.06
1.81	1.84	42.45
2.38	2.41	40.14
2.86	2.89	40.14
3.42	3.45	43.06
4.1	4.13	40.14
4.59	4.62	40.14
5.2	5.23	40.14
5.85	5.88	42.76
6.43	6.46	43.06
7.1	7.13	44.77
7.71	7.74	43.06
8.36	8.39	41.17
12.3	12.33	43.65
12.82	12.85	37.88
13.41	13.44	38.28
14.02	14.05	37.88
14.76	14.79	43.36
15.33	15.36	38.28
15.98	16.01	38.28
16.57	16.6	38.28
17.25	17.28	41.17
18.16	18.19	40.49
18.78	18.81	43.06
19.33	19.36	37.88
19.96	19.99	36.19
22.14	22.17	42.76
22.73	22.76	43.36
23.3	23.33	44.77
23.93	23.96	45.03
24.59	24.62	43.06
25.19	25.22	43.36
25.82	25.85	39.79
26.93	26.96	38.28
27.55	27.58	35.28
28.11	28.14	38.67
28.76	28.79	39.79
29.51	29.54	43.65
32.19	32.22	43.36
32.78	32.81	43.65
33.34	33.37	45.03
33.91	33.94	44.77
34.64	34.67	43.36
35.87	35.9	41.5
36.67	36.7	41.17
38.38	38.41	38.67
38.97	39.0	41.82
39.84	39.87	41.17
40.74	40.77	39.05
41.24	41.27	36.63
