onset	offset	pitch
4.09	4.12	45.0
4.67	4.7	46.0
5.21	5.24	52.0
5.77	5.8	52.0
6.33	6.36	54.0
6.86	6.89	54.0
7.39	7.42	52.0
8.51	8.54	50.0
8.98	9.01	50.0
9.53	9.56	48.0
10.06	10.09	48.0
10.6	10.63	47.0
11.19	11.22	47.0
11.68	11.71	44.0
12.76	12.79	53.0
13.25	13.28	52.0
13.8	13.83	50.0
14.32	14.35	50.0
14.86	14.89	49.0
15.4	15.43	49.0
15.91	15.94	47.0
16.97	17.0	52.0
17.5	17.53	52.0
18.04	18.07	49.0
18.56	18.59	49.0
19.06	19.09	48.0
19.57	19.6	48.0
20.1	20.13	47.0
21.2	21.23	44.0
21.74	21.77	45.0
22.22	22.25	53.0
22.78	22.81	52.0
23.3	23.33	54.0
23.82	23.85	54.0
24.34	24.37	51.0
25.38	25.41	49.0
25.88	25.91	50.0
26.36	26.39	48.0
26.89	26.92	48.0
27.44	27.47	47.0
28.0	28.03	47.0
28.47	28.5	44.0
