onset	offset	pitch
2.26	2.29	32.3
2.67	2.7	37.47
3.2	3.23	35.34
4.86	4.89	33.82
5.23	5.26	29.82
6.82	6.85	29.17
7.27	7.3	37.06
7.81	7.84	34.8
8.24	8.27	33.82
8.53	8.56	29.78
10.98	11.01	31.06
11.5	11.53	37.88
11.89	11.92	36.19
12.38	12.41	33.3
12.69	12.72	30.37
14.34	14.37	38.28
14.74	14.77	39.42
15.24	15.27	37.06
15.72	15.75	33.3
16.69	16.72	35.28
18.45	18.48	28.49
18.82	18.85	36.63
19.36	19.39	33.82
19.82	19.85	33.3
20.24	20.27	27.79
21.98	22.01	28.49
22.33	22.36	34.32
22.82	22.85	33.82
23.18	23.21	32.77
23.58	23.61	29.82
25.21	25.24	29.82
26.35	26.38	37.06
27.51	27.54	34.8
29.3	29.33	32.77
29.73	29.76	38.67
30.15	30.18	38.67
30.55	30.58	38.28
31.69	31.72	40.22
32.22	32.25	38.28
32.84	32.87	36.19
33.41	33.44	32.77
34.02	34.05	31.06
