onset	offset	pitch
1.53	1.56	40.83
2.21	2.24	40.14
2.68	2.71	40.49
3.31	3.34	40.14
3.86	3.89	40.49
4.44	4.47	43.06
5.16	5.19	40.83
6.54	6.57	40.83
7.1	7.13	44.49
7.6	7.63	42.45
8.2	8.23	40.83
8.81	8.84	40.14
9.35	9.38	37.88
9.97	10.0	36.19
11.29	11.32	42.76
11.85	11.88	41.17
12.48	12.51	40.49
12.97	13.0	43.06
13.54	13.57	41.17
14.14	14.17	40.49
14.68	14.71	37.88
15.92	15.95	43.06
16.5	16.53	41.5
17.13	17.16	40.49
17.67	17.7	38.28
18.31	18.34	40.14
18.82	18.85	38.28
19.45	19.48	36.19
20.75	20.78	41.17
21.36	21.39	40.83
21.88	21.91	41.17
22.48	22.51	40.49
23.0	23.03	41.5
23.49	23.52	43.36
24.15	24.18	40.83
25.35	25.38	41.17
25.99	26.02	36.63
26.5	26.53	38.67
27.1	27.13	40.83
27.66	27.69	41.5
28.33	28.36	41.17
28.84	28.87	41.5
