onset	offset	pitch
1.01	1.04	47.28
1.63	1.66	49.47
2.02	2.05	51.6
2.32	2.35	52.49
3.53	3.56	54.45
3.81	3.84	52.66
4.2	4.23	51.79
4.49	4.52	49.27
4.89	4.92	47.28
6.88	6.91	45.3
7.41	7.44	45.03
7.79	7.82	49.27
8.19	8.22	47.28
8.95	8.98	45.3
9.62	9.65	44.77
9.92	9.95	42.45
10.25	10.28	44.77
10.56	10.59	45.56
10.96	10.99	47.97
11.7	11.73	47.74
12.33	12.36	49.27
12.68	12.71	51.6
12.98	13.01	52.66
14.25	14.28	54.76
14.56	14.59	56.49
14.87	14.9	54.76
15.17	15.2	52.49
15.6	15.63	51.96
16.9	16.93	49.88
17.54	17.57	50.28
17.88	17.91	51.96
18.21	18.24	53.0
18.92	18.95	49.88
19.61	19.64	46.07
19.9	19.93	45.3
20.24	20.27	43.36
20.55	20.58	45.3
20.92	20.95	41.5
