onset	offset	pitch
0.36	0.39	50.0
0.88	0.91	52.0
1.39	1.42	53.0
1.89	1.92	53.0
2.32	2.35	51.0
2.8	2.83	51.0
3.29	3.32	48.0
4.24	4.27	51.0
4.77	4.8	51.0
5.2	5.23	48.0
5.66	5.69	48.0
6.18	6.21	46.0
7.95	7.98	51.0
8.36	8.39	51.0
8.94	8.97	54.0
9.36	9.39	53.0
9.78	9.81	51.0
10.32	10.35	52.0
10.79	10.82	48.0
11.69	11.72	52.0
12.17	12.2	48.0
12.68	12.71	47.0
13.14	13.17	49.0
13.6	13.63	45.0
15.5	15.53	51.0
15.91	15.94	51.0
16.43	16.46	53.0
16.82	16.85	53.0
17.38	17.41	51.0
17.85	17.88	51.0
18.32	18.35	48.0
19.31	19.34	52.0
19.77	19.8	51.0
20.17	20.2	48.0
20.62	20.65	48.0
21.18	21.21	46.0
22.94	22.97	51.0
23.34	23.37	51.0
23.89	23.92	53.0
24.33	24.36	52.0
24.82	24.85	51.0
25.25	25.28	51.0
25.79	25.82	48.0
26.69	26.72	52.0
27.17	27.2	48.0
27.63	27.66	46.0
28.08	28.11	49.0
28.6	28.63	44.0
