onset	offset	pitch
0.11	0.14	36.63
0.38	0.41	34.32
0.68	0.71	35.74
1.31	1.34	39.05
1.96	1.99	30.45
2.55	2.58	31.06
2.85	2.88	28.49
3.22	3.25	31.65
3.89	3.92	33.82
4.54	4.57	35.74
4.78	4.81	36.19
5.15	5.18	36.19
5.49	5.52	34.32
5.81	5.84	35.74
6.47	6.5	39.42
6.76	6.79	39.42
7.13	7.16	29.78
7.74	7.77	31.06
8.03	8.06	27.05
8.4	8.43	30.45
9.09	9.12	33.82
9.72	9.75	27.79
10.38	10.41	26.28
10.67	10.7	29.17
10.99	11.02	26.51
11.65	11.68	26.28
11.9	11.93	29.82
12.25	12.28	31.06
12.81	12.84	28.54
13.43	13.46	30.45
14.55	14.58	35.74
14.86	14.89	36.19
15.16	15.19	36.19
15.51	15.54	33.82
15.8	15.83	36.19
