ground_note	 score_note
44.77	44
44.49	45
47.97	47
41.82	40
44.77	44
45.56	45
47.51	47
40.49	40
44.77	44
46.32	45
47.51	47
52.66	52
51.6	51
49.27	49
47.74	47
44.22	44
47.74	47
52.14	52
47.28	47
44.49	44
47.28	47
52.32	52
46.8	47
44.49	44
47.74	47
52.66	52
47.51	47
44.77	44
48.19	47
52.32	52
54.14	54
52.32	52
54.91	54
52.14	52
52.14	51
52.66	52
54.76	54
52.49	52
51.42	51
49.47	49
54.14	54
47.28	47
53.98	54
47.97	47
55.36	54
47.97	47
51.79	51
52.83	52
54.76	54
52.32	52
51.42	51
48.63	49
47.51	47
52.32	52
