ground_note	 score_note
35.28	44
35.28	47
31.65	47
29.17	44
33.82	42
33.3	45
29.82	45
27.05	42
31.65	40
31.65	44
27.05	44
29.17	40
25.47	42
22.8	39
32.77	35
35.74	44
36.19	47
32.22	47
29.82	44
33.82	42
34.32	45
29.82	45
32.22	42
27.79	44
30.45	40
27.05	42
28.49	39
37.06	40
37.06	49
37.06	49
40.14	49
35.74	52
35.74	47
36.19	47
33.82	47
34.32	45
34.32	45
35.28	45
32.22	47
32.22	44
32.22	44
36.63	44
37.47	49
36.63	49
39.42	49
34.8	52
32.22	47
33.3	44
29.82	45
32.22	42
28.49	44
31.06	40
27.05	42
28.49	39
0	40
