ground_note	 score_note
44.49	44
47.28	47
54.45	54
52.49	52
47.28	47
45.03	45
44.22	44
44.49	44
44.22	44
45.56	45
47.04	47
49.06	49
47.28	47
44.22	44
47.04	47
54.3	54
52.49	52
47.28	47
45.3	45
44.49	44
47.28	47
47.28	47
49.47	49
51.42	51
52.32	52
52.49	52
54.14	54
47.97	47
47.51	47
51.6	51
49.27	49
47.28	47
44.22	44
47.28	47
52.49	52
49.47	49
52.14	52
54.14	54
52.49	52
51.42	51
47.04	47
44.49	44
47.28	47
54.3	54
52.49	52
47.28	47
45.3	45
44.49	44
47.04	47
47.04	47
49.27	49
51.05	51
52.49	52
52.14	52
