ground_note	 score_note
54.14	54
54.14	54
50.86	51
49.06	49
47.28	47
51.05	51
51.24	51
47.04	47
47.04	47
43.65	44
53.82	42
39.79	40
43.93	44
44.22	44
51.6	52
51.96	52
48.84	49
47.28	47
46.56	46
49.06	49
49.06	49
47.28	47
45.82	46
44.22	44
46.07	46
46.07	46
46.32	46
44.22	44
42.14	42
54.14	54
54.14	54
54.3	54
54.14	54
51.24	51
49.06	49
58.92	47
51.42	51
51.24	51
46.56	47
46.56	47
43.93	44
42.14	42
40.14	40
44.22	44
44.22	44
51.96	52
51.96	52
43.06	43
47.04	47
49.27	49
51.24	51
51.24	51
41.82	42
49.06	49
49.06	49
49.47	49
46.56	47
46.07	46
47.04	47
