ground_note	 score_note
47.04	47
48.84	49
52.14	52
48.63	49
46.56	47
48.63	49
51.79	52
48.19	49
46.32	47
48.63	49
46.56	47
44.77	45
44.22	44
46.8	47
44.22	44
42.45	42
47.04	47
48.84	49
51.79	52
48.63	49
46.56	47
48.41	49
51.24	52
48.41	49
46.8	47
51.42	52
50.47	51
48.41	49
46.07	47
44.49	45
43.93	44
44.77	45
41.5	42
40.14	40
44.22	44
40.14	40
42.45	42
44.22	44
49.06	49
45.3	45
42.14	42
47.04	47
43.93	44
48.84	49
47.04	47
45.3	45
44.49	44
44.49	44
42.45	42
44.22	44
45.3	45
47.28	47
49.27	49
52.32	52
48.84	49
47.04	47
48.84	49
51.79	52
48.41	49
46.8	47
51.79	52
50.47	51
48.63	49
46.32	47
44.77	45
44.22	44
45.03	45
42.14	42
40.49	40
44.49	44
23.74	40
