ground_note	 score_note
41.82	42
49.68	49
49.47	49
49.06	49
47.74	47
49.27	49
45.56	45
45.3	45
47.28	47
42.45	42
42.14	42
47.28	47
47.74	47
47.51	47
45.3	45
47.28	47
47.28	47
47.28	47
49.06	49
48.84	49
42.14	42
49.68	49
49.68	49
49.68	49
47.04	47
49.27	49
45.56	45
45.56	45
49.06	49
47.28	47
42.14	42
47.04	47
47.28	47
47.04	47
45.3	45
47.04	47
51.6	40
40.14	40
42.14	42
41.82	42
47.28	47
54.3	54
54.76	54
54.45	54
52.32	52
54.3	54
50.28	50
50.47	50
52.32	52
47.28	47
47.04	47
52.32	52
52.49	52
52.14	52
50.67	50
52.32	52
52.32	52
52.32	52
54.3	54
54.3	54
47.28	47
54.3	54
54.45	54
54.45	54
51.96	52
54.3	54
50.28	50
50.28	50
54.3	54
52.66	52
45.82	47
52.66	52
52.66	52
52.32	52
50.67	50
51.79	52
45.3	45
45.03	45
47.04	47
47.28	47
