ground_note	 score_note
47.28	47
44.22	44
47.04	47
52.49	52
49.47	49
51.96	52
49.47	49
47.28	47
47.28	47
40.49	40
42.45	42
44.49	44
42.45	42
40.49	40
42.45	42
47.51	47
44.77	44
46.56	47
52.49	52
51.42	51
49.27	49
52.49	52
49.27	49
47.04	47
47.51	47
42.45	42
44.22	44
45.03	45
42.14	42
40.49	40
49.47	49
52.32	52
52.32	52
51.6	51
49.27	49
51.6	51
52.32	52
49.27	49
51.24	51
52.66	52
49.68	49
49.88	49
47.74	47
43.65	44
52.66	40
42.45	42
47.51	47
44.22	44
47.28	47
52.49	52
51.6	51
49.27	49
52.49	52
48.84	49
47.04	47
47.28	47
42.45	42
44.22	44
45.3	45
39.42	39
40.49	40
